id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
585254,Hostišová,386,238,236,57,0,1,0,1,15,41,0,14,3,1,0,0,2,0,20,6,2,0,43,6,17,6,1
585262,Hrobice,381,218,217,49,1,0,0,0,11,40,0,24,0,4,1,0,1,0,18,1,1,2,28,2,10,21,3
585271,Hřivínův Újezd,452,283,283,92,0,0,1,0,25,38,0,16,0,0,0,0,0,0,17,2,1,1,52,4,14,20,0
585289,Hvozdná,1 016,713,707,158,0,1,0,1,33,116,0,78,8,2,0,1,3,2,42,3,9,8,85,20,76,60,1
585301,Jasenná,761,494,493,130,0,0,0,2,36,33,1,54,4,4,1,0,1,2,41,3,16,6,76,16,38,28,1
585319,Jestřabí,232,115,115,22,0,0,0,1,13,28,0,7,0,4,0,0,0,0,8,2,1,0,5,2,6,15,1
585327,Kaňovice,225,144,143,27,0,0,0,0,25,19,0,3,1,1,0,0,0,2,4,2,2,2,34,0,13,8,0
587052,Karlovice,192,135,134,47,0,0,0,0,8,20,0,11,1,1,0,0,0,1,5,0,1,0,17,4,9,9,0
585343,Kašava,718,502,499,117,0,0,1,0,23,111,1,30,5,4,0,0,1,0,44,1,6,5,86,7,31,25,1
592251,Kelníky,127,93,93,15,0,0,0,0,8,21,0,12,0,1,0,0,0,2,2,1,1,3,15,1,4,7,0
549436,Komárov,285,187,185,42,0,0,0,1,13,25,0,6,4,0,1,0,3,0,9,3,4,3,34,4,17,10,6
586960,Křekov,138,84,82,11,0,0,0,0,7,14,0,3,0,0,1,0,0,0,11,0,0,0,19,2,7,7,0
573434,Lhota,695,448,445,126,0,0,0,2,24,104,1,22,0,2,1,1,3,1,21,5,5,3,42,9,53,18,2
549550,Lhotsko,228,141,141,45,0,0,0,0,3,5,1,9,0,2,0,0,1,0,11,0,3,0,22,8,21,10,0
549622,Lípa,683,495,490,132,0,1,1,0,25,47,0,75,1,4,0,0,0,0,22,1,8,2,60,23,66,20,2
586871,Lipová,289,199,199,67,0,0,0,0,14,31,0,13,2,3,0,0,0,0,6,2,3,2,31,3,14,7,1
585432,Loučka,429,253,250,68,1,0,0,0,22,55,0,21,0,4,0,1,0,1,16,3,4,1,28,1,15,9,0
